storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1496307600;RPB0502-TEST0;Sale;0;;Closed;XXXXX;;Sale;;AED;0;0;1;CarryOut;;455000;0;0;08E49585-D951-E711-80CE-000D3A2436CD;08E49585-D951-E711-80CE-000D3A2436CD
B0502-TEST;1577869200;RPB0502-TEST4641160000000000000;Sale;1;;Closed;XXXXX;73097945;Sale;73097945;AED;1440000;81069373;1;CarryOut;73097945;1382500;57500;0;A3B8E3CB-3D2D-EA11-80E1-000D3A239D68;A3B8E3CB-3D2D-EA11-80E1-000D3A239D68
B0502-TEST;1581930000;RPB0502-TEST4816320000000000000;Sale;1;;Closed;XXXXX;73089051;Sale;73089051;AED;10750000;81069391;1;CarryOut;73089051;8295600;2454400;0;1611F7BD-E856-EA11-80E3-000D3A239D68;1611F7BD-E856-EA11-80E3-000D3A239D68
B0502-TEST;1651741200;RPB0502-TEST7877590000000000000;Sale;1;;Closed;XXXXX;73564293;Sale;73564293;AED;694000;20072392;1;CarryOut;73564293;694000;0;0;D671CA78-9ECC-EC11-80FB-000D3A239D68;D671CA78-9ECC-EC11-80FB-000D3A239D68
B0502-TEST;1569229200;RPB0502-TEST4261970000000000000;Sale;1;;Closed;XXXXX;73213261;Sale;73213261;AED;574000;20072392;1;CarryOut;73213261;574000;0;0;C3874BAA-E6E4-E911-80DF-000D3A239D68;C3874BAA-E6E4-E911-80DF-000D3A239D68
B0502-TEST;1579165200;RPB0502-TEST4696940000000000000;Sale;2;;Closed;XXXXX;73213256;Sale;73213256;AED;557000;20072392;1;CarryOut;73213256;557000;0;0;4DFAB50C-1339-EA11-80E2-000D3A239D68;4DFAB50C-1339-EA11-80E2-000D3A239D68
B0502-TEST;1579251600;RPB0502-TEST4700290000000000000;Sale;2;;Closed;XXXXX;73213256;Sale;73213256;AED;557000;20072392;1;CarryOut;73213256;557000;0;0;4409C882-A63A-EA11-80E2-000D3A239D68;4409C882-A63A-EA11-80E2-000D3A239D68
B0502-TEST;1579338000;RPB0502-TEST4703450000000000000;Sale;2;;Closed;XXXXX;73213256;Sale;73213256;AED;557000;20072392;1;CarryOut;73213256;557000;0;0;4409C882-A63A-EA11-80E2-000D3A239D68;4409C882-A63A-EA11-80E2-000D3A239D68
B0502-TEST;1637917200;RPB0502-TEST7263810000000000000;Sale;1;;Closed;XXXXX;73276465;Sale;73276465;AED;694000;20072392;1;CarryOut;73276465;694000;0;0;B28E6095-5A4F-EC11-80F1-000D3A2436CD;B28E6095-5A4F-EC11-80F1-000D3A2436CD
B0502-TEST;1591434000;RPB0502-TEST5234840000000000000;Sale;2;;Closed;XXXXX;73276466;Sale;73276466;AED;557000;20072392;1;CarryOut;73276466;450317;106683;0;0EF45B8B-F7AA-EA11-80E3-000D3A2436CD;0EF45B8B-F7AA-EA11-80E3-000D3A2436CD
B0502-TEST;1515834000;RPB0502-TEST1924550000000000000;Sale;2;;Closed;XXXXX;73106582;Sale;73106582;AED;574000;20072392;1;CarryOut;73106582;574000;0;0;BB37E573-F6F8-E711-80D1-000D3A239D68;BB37E573-F6F8-E711-80D1-000D3A239D68
B0502-TEST;1497949200;RPB0502-TEST1142870000000000000;Sale;1;;Closed;XXXXX;73057174;Sale;73057174;AED;574000;20072392;1;CarryOut;73057174;574000;0;0;C70CAC86-3E56-E711-80CF-000D3A239D68;C70CAC86-3E56-E711-80CF-000D3A239D68
B0502-TEST;1503392400;RPB0502-TEST1382970000000000000;Sale;1;;Closed;XXXXX;73081070;Sale;73081070;AED;574000;20072392;1;CarryOut;73081070;574000;0;0;FFCC195E-BC87-E711-80D0-000D3A239D68;FFCC195E-BC87-E711-80D0-000D3A239D68
B0502-TEST;1503133200;RPB0502-TEST1371820000000000000;Sale;1;;Closed;XXXXX;73082253;Sale;73082253;AED;574000;20072392;1;CarryOut;73082253;574000;0;0;87A83953-EC84-E711-80D0-000D3A2436CD;87A83953-EC84-E711-80D0-000D3A2436CD
B0502-TEST;1520067600;RPB0502-TEST2117100000000000000;Sale;1;;Closed;XXXXX;73106577;Sale;73106577;AED;574000;20072392;1;CarryOut;73106577;574000;0;0;6CCC3369-7F1F-E811-80D2-000D3A2436CD;6CCC3369-7F1F-E811-80D2-000D3A2436CD
B0502-TEST;1500886800;RPB0502-TEST1274990000000000000;Sale;8;;Closed;XXXXX;73066663;Sale;73066663;AED;574000;20072392;1;CarryOut;73066663;556780;17219;0;A6CC8272-817F-E711-80D0-000D3A2436CD;A6CC8272-817F-E711-80D0-000D3A2436CD
B0502-TEST;1550912400;RPB0502-TEST3454540000000000000;Sale;5;;Closed;XXXXX;73213264;Sale;73213264;AED;699000;20072392;1;CarryOut;73213264;669000;30000;0;5E262315-4937-E911-80D8-000D3A239D68;5E262315-4937-E911-80D8-000D3A239D68
B0502-TEST;1550134800;RPB0502-TEST3423670000000000000;Sale;1;;Closed;XXXXX;73213259;Sale;73213259;AED;699000;20072392;1;CarryOut;73213259;699000;0;0;00CB19D6-FF30-E911-80D8-000D3A239D68;00CB19D6-FF30-E911-80D8-000D3A239D68
B0502-TEST;1512637200;RPB0502-TEST1787590000000000000;Sale;3;;Closed;XXXXX;73106579;Sale;73106579;AED;574000;20072392;1;CarryOut;73106579;574000;0;0;1E14D0B6-73DD-E711-80D0-000D3A239D68;1E14D0B6-73DD-E711-80D0-000D3A239D68
B0502-TEST;1548838800;RPB0502-TEST3367920000000000000;Sale;3;;Closed;XXXXX;73213257;Sale;73213257;AED;699000;20072392;1;CarryOut;73213257;610100;88900;0;2E64CB6C-2F25-E911-80D8-000D3A239D68;2E64CB6C-2F25-E911-80D8-000D3A239D68
B0502-TEST;1546678800;RPB0502-TEST3275530000000000000;Sale;2;;Closed;XXXXX;73213262;Sale;73213262;AED;699000;20072392;1;CarryOut;73213262;618000;81000;0;A06B6CE0-8311-E911-80D7-000D3A239D68;A06B6CE0-8311-E911-80D7-000D3A239D68
B0502-TEST;1512032400;RPB0502-TEST1757910000000000000;Sale;3;;Closed;XXXXX;73088413;Sale;73088413;AED;574000;20072392;1;CarryOut;73088413;476200;97800;0;23FADE85-60D6-E711-80D0-000D3A239D68;23FADE85-60D6-E711-80D0-000D3A239D68
B0502-TEST;1630659600;RPB0502-TEST6949280000000000000;Sale;1;;Closed;XXXXX;73246240;Sale;73246240;AED;694000;20072392;1;CarryOut;73246240;570000;124000;0;1E054D59-BD0C-EC11-80F4-000D3A239D68;1E054D59-BD0C-EC11-80F4-000D3A239D68
B0502-TEST;1631610000;RPB0502-TEST6990360000000000000;Sale;1;;Closed;XXXXX;73213265;Sale;73213265;AED;694000;20072392;1;CarryOut;73213265;634000;60000;0;B2269088-E715-EC11-80EF-000D3A2436CD;B2269088-E715-EC11-80EF-000D3A2436CD
B0502-TEST;1735722000;RPB0502-TEST-6902560000000000000;Sale;2;;Closed;XXXXX;73789228;Sale;73789228;AED;762000;20072392;1;CarryOut;73789228;762000;0;0;A4C23B8F-DAC8-EF11-810B-000D3A2436CD;A4C23B8F-DAC8-EF11-810B-000D3A2436CD
B0502-TEST;1508835600;RPB0502-TEST1620060000000000000;Sale;2;;Closed;XXXXX;73087670;Sale;73087670;AED;574000;20072392;1;CarryOut;73087670;346700;227300;0;612FF78F-D4BA-E711-80D0-000D3A239D68;612FF78F-D4BA-E711-80D0-000D3A239D68
B0502-TEST;1609578000;RPB0502-TEST6026000000000000000;Sale;2;;Closed;XXXXX;73275266;Sale;73275266;AED;587000;20072392;1;CarryOut;73275266;587000;0;0;E9863A62-AF4D-EB11-80E8-000D3A2436CD;E9863A62-AF4D-EB11-80E8-000D3A2436CD
B0502-TEST;1598691600;RPB0502-TEST5550510000000000000;Sale;3;;Closed;XXXXX;73263527;Sale;73263527;AED;587000;20072392;1;CarryOut;73263527;462500;124500;0;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD;DE6A0D58-6AEB-EA11-80E5-000D3A2436CD
B0502-TEST;1588842000;RPB0502-TEST5122950000000000000;Sale;1;;Closed;XXXXX;73275272;Sale;73275272;AED;557000;20072392;1;CarryOut;73275272;557000;0;0;AA5545E6-E856-EA11-80E3-000D3A239D68;AA5545E6-E856-EA11-80E3-000D3A239D68
B0502-TEST;1683277200;RPB0502-TEST-9189880000000000000;Sale;2;;Closed;XXXXX;73593460;Sale;73593460;AED;694000;20072392;1;CarryOut;73593460;694000;0;0;BB88D181-D6EB-ED11-80FC-000D3A2436CD;BB88D181-D6EB-ED11-80FC-000D3A2436CD
B0502-TEST;1651136400;RPB0502-TEST7847860000000000000;Sale;1;;Closed;XXXXX;73521336;Sale;73521336;AED;694000;20072392;1;CarryOut;73521336;659000;35000;0;E820DE2B-1FC9-EC11-80F5-000D3A2436CD;E820DE2B-1FC9-EC11-80F5-000D3A2436CD
B0502-TEST;1694250000;RPB0502-TEST-8714530000000000000;Sale;2;;Closed;XXXXX;73789224;Sale;73789224;AED;694000;20072392;1;CarryOut;73789224;694000;0;0;AFCF82AD-A14F-EE11-80FF-000D3A2436CD;AFCF82AD-A14F-EE11-80FF-000D3A2436CD
