BOUTIQUE_CODE;CUSTOMER_CODE_XY;CUSTOMER_CODE_CRM;CUSTOMER_COUNTRY;SALESMAN_CODE;SOURCE;RECEIPT_CODE;TILL_SHORT_DESC;TRANSACTION_DATE;CURRENCY;POSITION;TRANSACTION_TYPE;PRODUCT_CODE;ID_NUMBER;QTY;UNIT_PRICE_LIST_VALUE;ROW_PAID_VALUE
90006761;08E49585-D951-E711-80CE-000D3A2436CD;08E49585-D951-E711-80CE-000D3A2436CD;;RP_2559;;;;20170601;AED;;;;;1;;4550.00
90006761;A3B8E3CB-3D2D-EA11-80E1-000D3A239D68;A3B8E3CB-3D2D-EA11-80E1-000D3A239D68;KAZ;RP_2561;RP;4641160000000000000;1;20200101;AED;1;0;81069373;73097945;1;14400.00;13825.00
90006761;1611F7BD-E856-EA11-80E3-000D3A239D68;1611F7BD-E856-EA11-80E3-000D3A239D68;RUS;RP_9558;RP;4816320000000000000;1;20200217;AED;1;0;81069391;73089051;1;107500.00;82956.00
90006761;D671CA78-9ECC-EC11-80FB-000D3A239D68;D671CA78-9ECC-EC11-80FB-000D3A239D68;RUS;RP_9558;RP;7877590000000000000;1;20220505;AED;1;0;20072392;73564293;1;6940.00;6940.00
90006761;C3874BAA-E6E4-E911-80DF-000D3A239D68;C3874BAA-E6E4-E911-80DF-000D3A239D68;ARE;RP_9558;RP;4261970000000000000;1;20190923;AED;1;0;20072392;73213261;1;5740.00;5740.00
90006761;4DFAB50C-1339-EA11-80E2-000D3A239D68;4DFAB50C-1339-EA11-80E2-000D3A239D68;ARE;RP_12140;RP;4696940000000000000;1;20200116;AED;2;0;20072392;73213256;1;5570.00;5570.00
90006761;4409C882-A63A-EA11-80E2-000D3A239D68;4409C882-A63A-EA11-80E2-000D3A239D68;SAU;RP_12140;RP;4700290000000000000;1;20200117;AED;2;0;20072392;73213256;1;5570.00;5570.00
90006761;4409C882-A63A-EA11-80E2-000D3A239D68;4409C882-A63A-EA11-80E2-000D3A239D68;SAU;RP_12140;RP;4703450000000000000;1;20200118;AED;2;0;20072392;73213256;1;5570.00;5570.00
90006761;B28E6095-5A4F-EC11-80F1-000D3A2436CD;B28E6095-5A4F-EC11-80F1-000D3A2436CD;ROM;RP_12140;RP;7263810000000000000;1;20211126;AED;1;0;20072392;73276465;1;6940.00;6940.00
90006761;0EF45B8B-F7AA-EA11-80E3-000D3A2436CD;0EF45B8B-F7AA-EA11-80E3-000D3A2436CD;ARE;RP_9558;RP;5234840000000000000;1;20200606;AED;2;0;20072392;73276466;1;5570.00;4503.17
90006761;BB37E573-F6F8-E711-80D1-000D3A239D68;BB37E573-F6F8-E711-80D1-000D3A239D68;SAU;RP_2557;RP;1924550000000000000;1;20180113;AED;2;0;20072392;73106582;1;5740.00;5740.00
90006761;C70CAC86-3E56-E711-80CF-000D3A239D68;C70CAC86-3E56-E711-80CF-000D3A239D68;KWT;RP_2557;RP;1142870000000000000;1;20170620;AED;1;0;20072392;73057174;1;5740.00;5740.00
90006761;FFCC195E-BC87-E711-80D0-000D3A239D68;FFCC195E-BC87-E711-80D0-000D3A239D68;ARE;RP_2557;RP;1382970000000000000;1;20170822;AED;1;0;20072392;73081070;1;5740.00;5740.00
90006761;87A83953-EC84-E711-80D0-000D3A2436CD;87A83953-EC84-E711-80D0-000D3A2436CD;KOR;RP_2562;RP;1371820000000000000;1;20170819;AED;1;0;20072392;73082253;1;5740.00;5740.00
90006761;6CCC3369-7F1F-E811-80D2-000D3A2436CD;6CCC3369-7F1F-E811-80D2-000D3A2436CD;UKR;RP_2561;RP;2117100000000000000;1;20180303;AED;1;0;20072392;73106577;1;5740.00;5740.00
90006761;A6CC8272-817F-E711-80D0-000D3A2436CD;A6CC8272-817F-E711-80D0-000D3A2436CD;RUS;RP_2561;RP;1274990000000000000;1;20170724;AED;8;0;20072392;73066663;1;5740.00;5567.80
90006761;5E262315-4937-E911-80D8-000D3A239D68;5E262315-4937-E911-80D8-000D3A239D68;SAU;RP_2559;RP;3454540000000000000;1;20190223;AED;5;0;20072392;73213264;1;6990.00;6690.00
